Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
7.852824083,-2.128274231,9.475745087,-0.2945874023,9.716279014
7.862800083,-2.297123108,9.505982208,-0.2981799316,9.784139389
7.872776083,-2.37990097,9.573192444,-0.2728825378,9.868353818
7.882752083,-2.329306183,9.626182251,-0.269589386,9.907660191
7.892728083,-2.155966644,9.652228088,-0.1907034302,9.89191928
7.902704083,-1.935774536,9.680818634,0.02619552612,9.872495059
7.912680083,-1.7995578,9.668843536,0.2203417969,9.837351987
7.922656083,-1.77156601,9.766889648,0.4318519592,9.935646715
7.932631083,-1.704505463,10.13826736,0.4546046448,10.29060102
7.942607083,-1.633253632,10.90123077,0.3240760803,11.02766408
7.952583083,-1.818717957,11.96866104,0.1893562317,12.10753641
7.962559083,-2.273921356,12.92696823,0.185464325,13.12675219
7.972535083,-2.865042114,13.65206039,0.1395098877,13.9501499
7.982511083,-3.461551666,14.00337982,-0.1110690308,14.42530148
7.992487083,-3.838467865,13.9532341,-0.4481680298,14.47851622
8.002462083,-3.902384949,13.72061783,-0.5655239868,14.2759861
8.012438083,-3.917054443,13.08967987,-0.04730163574,13.66328189
8.022414083,-4.031865692,11.96701447,1.386267242,12.70382277
8.032390083,-4.142335968,10.95706467,3.276985474,12.16366915
8.042366083,-4.203708344,10.12105316,4.047133942,11.68272974
8.052342083,-3.643722839,9.569150848,2.865042114,10.63267748
8.062318083,-2.176473999,9.500294037,0.6532415771,9.768282879
8.072294083,-0.6069877625,9.544003143,-1.395697632,9.664595285
8.082269083,0.2119592285,9.690249023,-2.192640381,9.937480802
8.092242583,0.1743873596,9.638606415,-1.752106476,9.798113169
8.102218583,-0.0,9.689949646,-0.6063890076,9.708904767
8.112194583,-0.05403762817,10.04575974,-0.2712359619,10.04956604
8.122170583,0.2591111755,10.81515976,-0.1058299255,10.81878086
8.132146583,0.6408174133,11.72586594,0.2493814087,11.74601081
